mes,publico,estado,n,compras_30d,conversao_30d,ic95_inf_30d,ic95_sup_30d,compras_90d,conversao_90d,ic95_inf_90d,ic95_sup_90d,compras_179d,conversao_179d,ic95_inf_179d,ic95_sup_179d
2026-02-01,Ex-membro,Lead engajado,2209,99,0.04481665912177456,0.036950007873121984,0.05426375094269205,159,0.07197827071072883,0.061927095040305656,0.0835155792116607,252,0.11407876867360797,0.10148593184710974,0.12801156133089273
2026-02-01,Ex-membro,Oportunidade,162,20,0.12345679012345678,0.08135782509025108,0.1830004541352267,32,0.19753086419753085,0.14353803306993532,0.2655366502423337,41,0.25308641975308643,0.19238655876352928,0.32522542761383333
2026-02-01,Não-membro,Contato,82574,99,0.0011989246009639837,0.0009849654257646368,0.0014592931802873768,356,0.004311284423668467,0.003886871283635019,0.00478181738792745,716,0.008671010245355682,0.008061089040697803,0.009326645637027172
2026-02-01,Não-membro,Lead engajado,5641,25,0.0044318383265378476,0.0030037457291042903,0.006534449284197765,64,0.01134550611593689,0.008895223204497316,0.014460897186905693,107,0.01896826803758199,0.015721956363995405,0.022869312521211223
2026-02-01,Não-membro,Oportunidade,370,11,0.02972972972972973,0.016680018413948883,0.05244444499515272,46,0.12432432432432433,0.09451535625255765,0.16185418635586257,65,0.17567567567567569,0.1402887423974754,0.2177281289191464
2026-02-01,Não-membro,Prospect,657,7,0.0106544901065449,0.005170356803647205,0.021827943545483355,28,0.0426179604261796,0.029648071719495628,0.06090554960216449,50,0.076103500761035,0.058200855127368015,0.09893453102265641
2026-03-01,Ex-membro,Contato,11957,71,0.005937944300409802,0.0047106216399235585,0.007482634058738984,225,0.018817429121016978,0.016531901374202268,0.021412050663420244,442,0.03696579409550891,0.03372984691410186,0.04049917723750969
2026-03-01,Ex-membro,Lead engajado,2772,57,0.020562770562770564,0.015905312011036364,0.02654725444664624,142,0.051226551226551224,0.043622752561081786,0.06007250151969861,244,0.08802308802308802,0.0780376277934274,0.09914885143507032
2026-03-01,Ex-membro,Oportunidade,179,14,0.0782122905027933,0.04715821351030407,0.12699033911666924,23,0.12849162011173185,0.08716759536133528,0.1854268251644094,32,0.1787709497206704,0.12957241625579968,0.2414678721687164
2026-03-01,Não-membro,Contato,81515,134,0.001643869226522726,0.0013882629549755489,0.0019464458640467278,399,0.004894804637183341,0.004438465433588324,0.005397807804131483,692,0.008489235110102435,0.007882161170916141,0.009142634235401313
2026-03-01,Não-membro,Lead engajado,9360,42,0.004487179487179487,0.0033215373146233164,0.0060593988174018135,118,0.012606837606837607,0.01053812851115076,0.015075461535054213,181,0.01933760683760684,0.01673857339078751,0.02233103240006654
2026-03-01,Não-membro,Oportunidade,444,19,0.04279279279279279,0.027563979446989146,0.06586548311298741,45,0.10135135135135136,0.07661116685842886,0.13293077832933395,63,0.14189189189189189,0.11250015266922263,0.17742735741469984
2026-03-01,Não-membro,Prospect,522,13,0.02490421455938697,0.014610760360375872,0.04213940927245652,30,0.05747126436781609,0.04055017496515771,0.08085824916864988,48,0.09195402298850575,0.07005745470347151,0.11981265066666279
